Feature,Importance
UNITSTOTAL,0.4861347
COMPLICATIONDEVELOPMENT_NO_COMPLICATION,0.103681155
DIAGNOSIS_HYPERTENSION,0.04673597
ANNUALCLAIMAMOUNT,0.04536437
COST_PER_UNIT,0.036343113
COMORBID_RISK,0.03357178
ANNUALCONTRIBUTION,0.026287043
COST_BURDEN,0.026206242
AGE,0.024224713
TREATMENT_INTENSITY,0.024078922
COVERTYPE_STANDARD,0.024055617
SCHEMETYPE_PREMIUM,0.02388523
CLAIM_CONTRIBUTION_RATIO,0.02277712
GENDER_M,0.020843975
COMORBIDITY_NO_COMORBIDITY,0.019569049
AGE_COMPLICATION_RISK,0.01892023
SCHEMETYPE_MEDIUM,0.017320776
AGE_GROUP,0.0
HIGH_RISK_AGE,0.0
